Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Observation Status],[Reporting Type],[Units],[Age],[Sex],[Location],[Education level],[Activity],[Freq],[Type of product],[Type of renewable technology],[Mode of transportation],[Name of non-communicable disease],[Type of skill],[Migratory status],[Type of speed],[Quantile],[Level/Status],[Type of occupation]
2.0,2.2,2.2.2,SH_STA_WASTN,Children moderately or severely wasted (thousands),218.0,Ecuador,1986.0,31.9,1986 (1986),,,,,"Diagnostico de la situacion alimentaria, nutricional y de salud de la poblacion ecuatoriana menor de cinco años. Quito: Ministerio de Salud Publica y Consejo Nacional de Desarrollo, 1988",, Converted estimate; ,C,A,G,NUM_TH,<5Y,,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,1987.0,17.6,1987.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 26, 2024. Based on data from EPED. Estimated from grouped income data. Urban only. ",G,,G,PERCENT,ALLAGE,BOTHSEX,ALLAREA,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1990.0,126.1795,1990.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1991.0,160.1431,1991.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1992.0,177.8969,1992.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1993.0,473.725,1993.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
15.0,15.5,15.5.1,ER_RSK_LST,Red List Index,218.0,Ecuador,1993.0,0.78821,1993.0,,0.80415,0.77373,," BirdLife International and IUCN (2024), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weightd by the proportion of each species's distribution in the country or region.",,,E,,G,INDEX,,,,,,,,,,,,,,,,
15.0,15.5,15.5.1,ER_RSK_LST,Red List Index,218.0,Ecuador,1994.0,0.78594,1994.0,,0.80041,0.77277,," BirdLife International and IUCN (2024), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weightd by the proportion of each species's distribution in the country or region.",,,E,,G,INDEX,,,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,1994.0,17.1,1994.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 26, 2024. Based on data from ECV. Estimated from unit-record income data. ",G,,G,PERCENT,ALLAGE,BOTHSEX,ALLAREA,,,,,,,,,,,,,
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,1994.0,21.2,1994.0,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECV. Estimated from unit-record income data. ,G,,G,PERCENT,,,,,,,,,,,,,,B50,,
