Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Units]
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2000","113.39871","2000","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Commitments; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2001","57.00937","2001","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Commitments; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2002","22.39084","2002","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2003","38.51651","2003","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2004","13.06967","2004","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2005","13.56123","2005","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2006","9.64269","2006","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2007","11.5089","2007","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2008","22.58989","2008","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2009","35.56206","2009","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2010","105.33757","2010","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2011","194.05268","2011","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2012","169.99368","2012","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2013","117.66688","2013","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2014","106.11774","2014","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2015","1528.9417","2015","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2016","379.3304","2016","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2017","313.9114","2017","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
"9","9.a","9.a.1","DC_TOF_INFRAL","Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars)","218","Ecuador","2018","651.23285","2018","","","","2022","The Organisation for Economic Co-operation and Development (OECD).","","Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million","C","G","CON_USD_M"
