Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Units]
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2000","440.8529","2000","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2001","271.46313","2001","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2002","818.87759","2002","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2003","607.01093","2003","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2004","-859.11073","2004","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2005","891.95927","2005","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2006","397.4876","2006","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2007","847.995","2007","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2008","375.535","2008","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2009","266.12794","2009","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2010","249.98108","2010","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2011","665.14511","2011","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2012","661.21766","2012","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2013","864.56981","2013","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2014","1362.2791","2014","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2015","2481.61375","2015","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
"10","10.b","10.b.1","DC_TRF_TOTL","Total assistance for development, by recipient countries (millions of current United States dollars)","218","Ecuador","2016","1432.80592","2016","","","","","The Organisation for Economic Co-operation and Development (OECD).","","Net Disbursements; Based on OECD, DAC database, 2024; Current USD million","C","G","CU_USD_M"
