Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Reporting Type],[Type of renewable technology],[Units]
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2009","1.41","2009","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","MULTIPLE","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2009","0","2009","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","SOLAR","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2009","0","2009","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","MARINE","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2009","0","2009","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","BIOENERGY","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2009","0","2009","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","GEOTHERMAL","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2010","0","2010","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","MARINE","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2010","0.05","2010","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","MULTIPLE","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2010","19.77","2010","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","SOLAR","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2010","0","2010","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","GEOTHERMAL","CON_USD_M"
"7","7.a","7.a.1","EG_IFF_RANDN","International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)","218","Ecuador","2010","2346.93","2010","","","","2021","DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)","","Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","E","G","HYDROPOWER","CON_USD_M"
