Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Nature],[Observation Status],[Reporting Type],[Units]
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2000","0.289","2000","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2001","0.278","2001","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2002","0.295","2002","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2003","0.284","2003","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2004","0.268","2004","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2005","0.269","2005","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2006","0.244","2006","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2007","0.178","2007","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2008","0.187","2008","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2009","0.217","2009","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2010","0.222","2010","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2011","0.213","2011","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2012","0.217","2012","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2013","0.242","2013","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2014","0.258","2014","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2015","0.223","2015","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2016","0.156","2016","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2017","0.143","2017","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
"9","9.4","9.4.1","EN_ATM_CO2MVA","Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)","218","Ecuador","2018","0.206","2018","","","","2015","UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics","","","ISIC4_C","E","A","G","KG_PER_CON_USD"
