Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Nature],[Observation Status],[Reporting Type],[Units]
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2000","27.23","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2000","4.79","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2000","0.34","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2000","45.18","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2001","29.33","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2001","36.43","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2001","0.31","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2001","4.92","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2002","29.47","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2002","5.12","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2002","34.05","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2002","0.3","1998-2002","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2003","31.97","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2003","0.31","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2003","5.29","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2003","29.28","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2004","29.38","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2004","5.75","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2004","35.04","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2004","0.31","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2005","0.34","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2005","37.32","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2005","6.07","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2005","28.61","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2006","28.89","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2006","6.4","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2006","42.17","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2006","0.36","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2007","0.38","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2007","43.79","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2007","6.55","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2007","29.27","2003-2007","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2008","30.01","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2008","7.1","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2008","0.4","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2008","51.59","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2009","44.36","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2009","0.46","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2009","6.95","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2009","31.6","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2010","7.32","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2010","48.97","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2010","0.49","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2010","32.28","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2011","0.53","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2011","57.26","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2011","7.99","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2011","33.65","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2012","35.33","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2012","8.39","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2012","0.52","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2012","60.65","2008-2012","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2013","62.72","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2013","0.57","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2013","8.79","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2013","37.23","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2014","0.63","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2014","64.23","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2014","38.8","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2014","9.13","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2015","54.89","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2015","0.67","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2015","8.88","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2015","40.62","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2016","40.38","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2016","8.78","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2016","0.64","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2016","54.19","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2017","56.27","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2017","0.68","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2017","9.03","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2017","41.14","2013-2017","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2018","57.33","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2018","41.7","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2018","9.12","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2018","0.63","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2019","57.47","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2019","0.62","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2019","9.17","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2019","42.07","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2020","39.95","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_GTT","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2020","8.46","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","TOTAL","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2020","0.64","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","ISIC4_A01_A0210_A0322","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2020","49.41","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
"6","6.4","6.4.1","ER_H2O_WUEYST","Water Use Efficiency (United States dollars per cubic meter)","218","Ecuador","2021","52.57","2018-2022","","","","","Food and Agriculture Organisation of United Nations (FAO)","","","INDUSTRIES","G","A","G","USD/m3"
