Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Location],[Nature],[Reporting Type],[Units]
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2010","78.50464","2010","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2010","86.97552","2010","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2010","92.01697","2010","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2011","86.99728","2011","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2011","92.01697","2011","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2011","78.50464","2011","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2012","92.01697","2012","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2012","78.50464","2012","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2012","87.01579","2012","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2013","92.01697","2013","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2013","87.0343","2013","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2013","78.50464","2013","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2014","87.05268","2014","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2014","92.01697","2014","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2014","78.50464","2014","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2015","92.01697","2015","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2015","78.50464","2015","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2015","87.07119","2015","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2016","87.08957","2016","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2016","78.50464","2016","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2016","92.01697","2016","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2017","87.10794","2017","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2017","92.01697","2017","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2017","78.50464","2017","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2018","87.12835","2018","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2018","78.50464","2018","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2018","92.01697","2018","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2019","92.01697","2019","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2019","78.50464","2019","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2019","87.15064","2019","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2020","78.50464","2020","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","RURAL","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2020","87.17496","2020","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2020","92.01697","2020","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","URBAN","E","G","PERCENT"
"6","6.2","6.2.1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","218","Ecuador","2021","87.20131","2021","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)","","","ALLAREA","E","G","PERCENT"
