Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Observation Status],[Reporting Type],[Units]
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2000","27.7","2000","","30.2","25.3","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2001","27.4","2001","","29.6","25.4","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2002","27.3","2002","","29.2","25.5","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2003","27.3","2003","","29","25.7","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2004","27.6","2004","","29.1","26","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2005","27.8","2005","","29.4","26.3","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2006","28.1","2006","","29.7","26.5","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2007","28.1","2007","","29.8","26.5","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2008","27.8","2008","","29.5","26.2","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2009","27.2","2009","","28.8","25.6","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2010","26.4","2010","","27.9","24.9","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2011","25.4","2011","","26.8","24","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2012","24.4","2012","","25.8","23.2","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2013","23.7","2013","","25","22.4","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2014","23.1","2014","","24.4","21.9","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2015","23","2015","","24.3","21.7","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2016","23.1","2016","","24.5","21.8","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2017","23.1","2017","","24.7","21.6","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2018","23.2","2018","","25","21.5","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2019","23.2","2019","","25.3","21.3","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2020","23.1","2020","","25.3","21","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2021","22.8","2021","","25.3","20.5","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
"2","2.2","2.2.1","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","218","Ecuador","2022","22.7","2022","","25.4","20.2","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","","M","A","G","PER_POP_U5"
