Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Observation Status],[Reporting Type],[Units]
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2000","429.4","2000","","468.4","392.4","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2001","426.2","2001","","459.6","394.3","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2002","425","2002","","454","397.3","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2003","425.9","2003","","451.8","401","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2004","429.4","2004","","453.9","405.6","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2005","433.7","2005","","458.3","409.9","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2006","438.3","2006","","463.8","413.6","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2007","439.5","2007","","465.8","414.1","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2008","436","2008","","462.5","410.5","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2009","428.5","2009","","454.4","403.6","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2010","418.5","2010","","443.1","394.7","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2011","405.1","2011","","428.2","383","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2012","392.2","2012","","413.7","371.4","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2013","379.3","2013","","399.8","359.5","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2014","367.8","2014","","388","348.4","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2015","361.5","2015","","382.2","341.6","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
"2","2.2","2.2.1","SH_STA_STNTN","Children moderately or severely stunted (thousands)","218","Ecuador","2016","357.6","2016","","379.6","336.4","","Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.","","","<5Y","M","A","G","NUM_TH"
